ID;LIMIT_BAL;AGE;ALWAYS_DULY;NEVER_DULY;EVER_DELAYED;BILL_AMT1;BILL_AMT2;BILL_AMT3;BILL_AMT4;BILL_AMT5;BILL_AMT6;PAY_AMT1;PAY_AMT2;PAY_AMT3;PAY_AMT4;PAY_AMT5;PAY_AMT6;default.payment.next.month
5568;120000;48;1;0;0;2422;894;0;0;1639;923;894;0;0;1639;923;0;0
5568;100000;48;1;0;0;2422;715;0;0;1639;923;894;0;0;1639;923;0;0
5568;100000;48;1;0;0;2422;894;0;0;1639;923;894;0;0;1639;923;0;0
9033;170000;30;1;0;0;26359;5275;0;0;0;0;1275;0;0;0;0;0;0
9033;170000;25;1;0;0;21087;5275;0;0;0;0;1275;0;0;0;0;0;0
9033;204000;25;1;0;0;26359;5275;0;0;0;0;1275;0;0;0;0;0;0
9033;170000;25;1;0;0;26359;4220;0;0;0;0;1275;0;0;0;0;0;0
9033;170000;25;1;0;0;26359;5275;0;0;0;0;1275;0;0;0;0;0;0
18673;20000;28;1;0;0;1174;1283;0;2616;600;0;1283;0;2616;600;780;1398;1
18673;20000;23;1;0;0;939;1283;0;2616;600;0;1283;0;2616;600;780;1398;1
18673;24000;23;1;0;0;1174;1283;0;2616;600;0;1283;0;2616;600;780;1398;1
18673;20000;23;1;0;0;1174;1026;0;2616;600;0;1283;0;2616;600;780;1398;1
18673;20000;23;1;0;0;1174;1283;0;2616;600;0;1283;0;2616;600;780;1398;1
22964;250000;43;1;0;0;396;396;396;3160;396;396;396;396;3160;396;396;396;0
22964;250000;36;1;0;0;317;396;396;3160;396;396;396;396;3160;396;396;396;0
22964;300000;36;1;0;0;396;396;396;3160;396;396;396;396;3160;396;396;396;0
22964;250000;36;1;0;0;396;317;396;3160;396;396;396;396;3160;396;396;396;0
22964;250000;36;1;0;0;396;396;475;3160;396;396;396;396;3160;396;396;396;0
