ID;PAY_0;PAY_2;PAY_3;PAY_4;PAY_5;PAY_6;BILL_AMT1;BILL_AMT2;BILL_AMT3;BILL_AMT4;BILL_AMT5;BILL_AMT6;PAY_AMT1;PAY_AMT2;PAY_AMT3;PAY_AMT4;PAY_AMT5;PAY_AMT6;default.payment.next.month
9033;0;0;0;-2;-2;-2;26359;5275;0;0;0;0;1275;0;0;0;0;0;0
9033;0;0;0;-2;-2;-2;26359;5275;0;0;0;0;1275;0;0;0;0;0;0
9033;0;0;0;-2;-2;-2;26359;5275;0;0;0;0;1275;0;0;0;0;0;0
9033;0;0;0;-2;-2;-2;26359;5275;0;0;0;0;1275;0;0;0;0;0;0
18673;-1;-1;-1;-1;-1;-1;1174;1283;0;2616;600;0;1283;0;2616;600;780;1398;1
18673;-1;-1;-1;-1;-1;-1;1174;1283;0;2616;600;0;1283;0;2616;600;780;1398;1
18673;-1;-1;-1;-1;-1;-1;1174;1283;0;2616;600;0;1283;0;2616;600;780;1398;1
18673;-1;-1;-1;-1;-1;-1;1174;1283;0;2616;600;0;1283;0;2616;600;780;1398;1
18673;-1;-1;-1;-1;-1;-1;1174;1283;0;2616;600;0;1283;0;2616;600;780;1398;1
22964;-1;-1;-1;-1;-1;-1;396;396;396;3160;396;396;396;396;3160;396;396;396;0
22964;-1;-1;-1;-1;-1;-1;396;396;396;3160;396;396;396;396;3160;396;396;396;0
22964;-1;-1;-1;-1;-1;-1;396;396;396;3160;396;396;396;396;3160;396;396;396;0
22964;-1;-1;-1;-1;-1;-1;396;396;396;3160;396;396;396;396;3160;396;396;396;0
22964;-1;-1;-1;-1;-1;-1;396;396;396;3160;396;396;396;396;3160;396;396;396;0
4861;1;2;2;2;2;2;87705;90376;90687;91888;93852;95734;4800;2500;3900;3400;3400;3400;1
4861;2;2;2;2;2;2;105246;90376;90687;91888;93852;95734;4800;2500;3900;3400;3400;3400;1
4861;2;2;2;2;2;2;87705;72300;90687;91888;93852;95734;4800;2500;3900;3400;3400;3400;1
4861;2;2;2;2;2;2;87705;90376;108824;91888;93852;95734;4800;2500;3900;3400;3400;3400;1
4861;2;2;2;2;2;2;87705;90376;90687;91888;93852;95734;3840;2500;3900;3400;3400;3400;1
5568;-3;-2;-2;-2;-2;-2;2422;894;0;0;1639;923;894;0;0;1639;923;0;0
5568;-2;-2;-2;-2;-2;-2;2906;894;0;0;1639;923;894;0;0;1639;923;0;0
5568;-2;-2;-2;-2;-2;-2;2422;715;0;0;1639;923;894;0;0;1639;923;0;0
5568;-2;-2;-2;-2;-2;-2;2422;894;0;0;1639;923;894;0;0;1639;923;0;0
5568;-2;-2;-2;-2;-2;-2;2422;894;0;0;1639;923;715;0;0;1639;923;0;0
9033;-1;0;0;-2;-2;-2;26359;5275;0;0;0;0;1275;0;0;0;0;0;0
9033;0;0;0;-2;-2;-2;31631;5275;0;0;0;0;1275;0;0;0;0;0;0
9033;0;0;0;-2;-2;-2;26359;4220;0;0;0;0;1275;0;0;0;0;0;0
9033;0;0;0;-2;-2;-2;26359;5275;0;0;0;0;1275;0;0;0;0;0;0
9033;0;0;0;-2;-2;-2;26359;5275;0;0;0;0;1020;0;0;0;0;0;0
18673;-2;-1;-1;-1;-1;-1;1174;1283;0;2616;600;0;1283;0;2616;600;780;1398;1
18673;-1;-1;-1;-1;-1;-1;1409;1283;0;2616;600;0;1283;0;2616;600;780;1398;1
18673;-1;-1;-1;-1;-1;-1;1174;1026;0;2616;600;0;1283;0;2616;600;780;1398;1
18673;-1;-1;-1;-1;-1;-1;1174;1283;0;2616;600;0;1283;0;2616;600;780;1398;1
18673;-1;-1;-1;-1;-1;-1;1174;1283;0;2616;600;0;1026;0;2616;600;780;1398;1
22964;-2;-1;-1;-1;-1;-1;396;396;396;3160;396;396;396;396;3160;396;396;396;0
22964;-1;-1;-1;-1;-1;-1;475;396;396;3160;396;396;396;396;3160;396;396;396;0
22964;-1;-1;-1;-1;-1;-1;396;317;396;3160;396;396;396;396;3160;396;396;396;0
22964;-1;-1;-1;-1;-1;-1;396;396;475;3160;396;396;396;396;3160;396;396;396;0
22964;-1;-1;-1;-1;-1;-1;396;396;396;3160;396;396;317;396;3160;396;396;396;0
