ID;AGE;PAY_0;PAY_2;PAY_3;PAY_4;PAY_5;PAY_6;RATIO;PAY_AMT1;PAY_AMT2;PAY_AMT3;PAY_AMT4;PAY_AMT5;PAY_AMT6;default.payment.next.month
5568;48;-3;-2;-2;-2;-2;-2;0,0242;894;0;0;1639;923;0;0
;;;;;;;;;;;;;;;
9033;25;0;0;0;-2;-2;-2;0,124;1275;0;0;0;0;0;0
9033;30;0;0;0;-2;-2;-2;0,155;1275;0;0;0;0;0;0
9033;25;0;0;0;-2;-2;-2;0,155;1020;0;0;0;0;0;0
9033;25;0;0;0;-2;-2;-2;0,155;1275;0;0;0;0;0;0
9033;25;-1;0;0;-2;-2;-2;0,155;1275;0;0;0;0;0;0
;;;;;;;;;;;;;;;
18673;23;-1;-1;-1;-1;-1;-1;0,1046;1283;0;2616;600;780;1398;1
18673;28;-1;-1;-1;-1;-1;-1;0,1308;1283;0;2616;600;780;1398;1
18673;23;-1;-1;-1;-1;-1;-1;0,1308;1026;0;2616;600;780;1398;1
18673;23;-1;-1;-1;-1;-1;-1;0,1308;1283;0;2616;600;780;1398;1
18673;23;-2;-1;-1;-1;-1;-1;0,1308;1283;0;2616;600;780;1398;1
;;;;;;;;;;;;;;;
22964;36;-1;-1;-1;-1;-1;-1;0,0101;396;396;3160;396;396;396;0
22964;43;-1;-1;-1;-1;-1;-1;0,0126;396;396;3160;396;396;396;0
22964;36;-1;-1;-1;-1;-1;-1;0,0126;317;396;3160;396;396;396;0
22964;36;-1;-1;-1;-1;-1;-1;0,0126;396;475;3160;396;396;396;0
22964;36;-2;-1;-1;-1;-1;-1;0,0126;396;396;3160;396;396;396;0
