ID;AGE;PAY_0;PAY_2;PAY_3;PAY_4;PAY_5;PAY_6;RATIO;PAY_AMT1;PAY_AMT2;PAY_AMT3;PAY_AMT4;PAY_AMT5;PAY_AMT6;default.payment.next.month
80;44;1;-2;-2;-2;-2;-2;0;0;0;0;0;0;0;1
81;33;0;0;0;0;0;0;0,3516;6400;7566;3000;960;1000;3000;0
82;26;0;0;0;0;0;-1;0,5;4796;3400;3100;146900;196;2963;0
83;30;0;0;0;0;0;0;0,4684;1576;1213;648;768;1140;0;1
84;44;0;0;2;0;0;0;0,3476;10700;3;3050;3000;3200;2800;0
85;49;0;0;0;0;0;0;0,9781;1676;1302;700;699;849;826;0
86;33;0;0;0;0;0;0;0,8126;4400;3547;80000;4500;4800;4500;0
87;45;-1;-1;2;0;-1;-1;0,0032;1170;0;0;390;390;390;1
88;32;0;0;0;0;0;-1;0,0537;1147;2000;2000;0;766;2303;0
89;35;0;0;0;-1;-1;-1;0,9066;40000;5000;1330;7095;1190;2090;0
90;44;2;2;0;0;0;2;0,6157;0;1651;1000;2000;0;1500;0
91;53;2;2;2;2;2;2;0,7476;6300;5500;5500;5500;5000;5000;1
92;39;-1;-1;-1;0;0;-2;0,0268;0;3968;0;0;0;0;0
93;27;-2;-2;-2;-2;-2;-2;0,0555;7555;0;0;0;0;0;0
94;37;-1;-1;-1;-1;-1;-2;0,01;1602;840;840;0;0;7736;0
95;23;0;0;0;0;0;0;0,7869;1937;1301;682;690;816;835;0
96;35;0;0;0;0;0;0;0,9739;3621;3597;1179;1112;1104;1143;0
97;43;-1;-1;-1;-1;-1;0;0,0732;8339;3394;12902;27000;0;68978;0
98;27;0;0;0;0;0;0;0,5985;4031;10006;3266;4040;1698;800;0
99;22;0;0;0;0;0;0;0,3744;1411;1194;379;281;321;197;0
100;38;0;0;0;0;0;-1;0,9779;1699;1460;626;1750;150;0;1
101;32;-2;-2;-2;-2;-2;-2;0,0729;10212;850;415;100;1430;0;0
102;30;-2;-2;-1;0;0;0;0,0896;223;33178;1171;1197;1250;5000;0
103;63;0;0;0;2;2;0;1,0147;16078;55693;17000;0;18000;24200;0
104;22;0;0;0;0;0;0;0,8939;1767;1362;1002;840;995;904;1
105;26;2;2;2;2;2;0;1,0036;0;5000;2511;6;3000;3000;0
106;24;-1;-1;-2;-2;-2;-1;0,3789;0;0;0;0;26529;2000;0
107;36;-1;-1;-1;-1;-1;-1;0,0763;2861;3279;3319;1150;1150;1035;0
108;52;-1;-1;-1;-1;-1;-1;0,015;2272;722;867;1150;5263;5011;0
109;38;0;0;0;-1;-1;-1;1,3721;10908;0;133657;4566;133841;4796;0
110;35;1;-2;-2;-2;-2;-2;0;0;0;0;0;0;0;0
111;31;0;0;2;0;0;0;0,3285;9260;0;3593;4100;15794;0;0
112;47;0;0;2;0;0;0;0,3478;2000;1000;1000;1000;1000;1000;0
113;41;2;2;2;2;2;3;0,5434;6500;0;14254;14850;0;5000;0
114;24;0;0;0;0;0;0;0,601;2000;2677;3076;5080;3000;2033;0
115;41;0;0;0;0;0;0;0,4062;1340;1305;700;718;724;684;0
116;24;-1;2;0;0;3;2;0,7106;0;1312;3000;0;1000;1000;1
117;28;-1;-1;-1;-1;-1;-1;0,0236;326;326;5676;476;326;526;0
118;26;2;0;0;0;0;0;0,2273;2000;1700;1000;1000;1000;1000;1
119;34;-1;-1;-1;-1;-1;-1;0,0491;9677;11867;7839;14837;7959;5712;0
120;38;0;0;0;0;-1;-1;0,2208;2000;3000;3000;1307;1203;563;0
121;37;2;2;2;3;2;2;1,0228;1000;4035;1000;1400;2800;0;1
122;40;1;-2;-2;-2;-2;-2;0;0;0;0;0;0;0;1
123;48;1;-2;-2;-2;-2;-2;0;0;0;0;0;0;0;0
124;35;2;0;0;0;0;0;1,004;13019;11128;8407;8599;6833;5987;1
125;27;0;0;0;0;0;0;0,9858;1404;1130;600;861;313;0;0
126;23;1;-2;-2;-2;-2;-2;0;0;0;0;0;0;0;0
127;52;0;0;0;0;0;0;0,5507;3568;3585;3602;3848;3669;3784;0
128;36;0;0;0;0;0;0;0,9096;4655;2690;2067;2142;2217;1000;1
129;51;0;0;0;0;0;0;0,1415;1000;1066;1300;1500;1200;134;1
130;55;3;2;2;0;0;0;1,0241;2504;7;1200;1200;1100;1500;0
131;23;1;-2;-2;-2;-1;-1;0,4581;5645;3508;27;13771;5911;3024;0
132;41;1;-1;-1;0;0;-1;0,0137;2622;3301;0;360;1737;924;0
133;34;0;0;0;0;0;0;0,6034;9744;9553;7603;7830;7253;11326;0
134;46;0;0;0;0;0;0;0,6958;8210;8095;8025;8175;8391;8200;0
135;22;0;0;0;0;0;0;0,9484;2000;1400;0;500;0;1560;0
136;34;0;0;0;2;2;2;0,0589;1500;1800;0;1000;0;327;0
137;27;0;0;0;0;0;0;0,2015;2500;3000;3000;3000;3500;5000;0
138;33;0;0;0;0;0;0;0,0437;1500;1500;1000;500;2000;546;0
139;51;-1;-1;-1;-1;-2;-2;0,1176;300;5880;0;0;0;0;1
140;24;0;0;0;0;0;0;1,016;2360;1700;1000;900;870;2130;0
141;47;1;-2;-2;-2;-2;-2;0;0;0;0;0;0;0;1
142;28;-1;-1;-1;-1;-1;-1;0,0101;0;416;332;500;3500;832;0
143;23;1;2;2;2;0;0;0,4116;1000;10000;400;700;800;600;0
144;29;-2;-2;-2;-2;-2;-2;0,0932;10000;10000;10000;9983;15863;10000;0
145;29;-1;-1;-1;-1;0;-1;0,7793;15586;344;2340;4702;339;330;0
146;28;0;0;0;0;0;3;0,2124;1000;1500;2000;1583;1100;0;0
147;27;0;0;0;0;0;0;0,1226;1661;1200;351;358;182;0;1
148;34;1;2;0;0;0;0;0,9861;8000;5000;55500;5000;5000;8500;0
149;23;1;2;3;2;0;0;0,1504;1650;0;0;379;2091;1;0
150;60;1;-2;-1;-1;-1;-1;0,0823;0;22500;0;969;1000;0;0
151;32;0;0;0;0;2;0;0,6187;3455;3110;5000;0;2100;2602;0
152;25;0;0;0;0;0;0;0,6968;30000;3000;6000;8000;2000;14000;0
153;41;1;-1;-1;-1;-1;-2;0,0083;2906;1000;630;0;0;0;0
154;56;0;0;0;0;0;0;0,7456;8042;6700;5137;100000;7000;6321;0
155;26;0;0;0;0;0;0;0,4735;1700;1500;1000;1500;1500;1500;0
156;34;0;0;0;0;0;0;0,3478;5000;5000;11885;5000;3000;5504;0
157;37;0;0;0;0;0;0;0,5271;4000;3250;3250;3500;3560;5000;0
158;30;0;0;0;0;0;0;0,9807;7300;7108;7680;6200;5000;4500;0
159;45;2;3;4;4;5;6;0,7338;10478;10478;11078;11078;11678;10478;1
160;57;3;2;0;0;0;0;0,2816;0;1600;500;500;600;600;0
161;41;2;2;2;2;2;0;0,944;3500;0;2200;0;1200;1250;0
162;27;2;-1;-1;-1;-1;2;0,0216;390;780;216;864;0;390;0
163;47;-1;-1;-1;-1;0;-1;0,0042;396;396;792;0;423;369;0
164;34;0;0;2;0;0;0;0,6408;17994;0;5469;5656;6811;3920;0
165;46;0;0;0;0;0;0;0,4626;3000;1500;1500;1000;1500;1500;0
166;27;0;0;0;0;0;0;0,9532;5500;3900;3000;2900;3000;2800;0
167;50;-2;-2;-2;-2;-2;-2;0,0416;15383;8204;15413;4792;13453;4699;0
168;27;-1;2;2;0;0;0;1,0234;3166;0;1330;1398;12;50000;0
169;35;0;0;0;0;0;2;0,981;3500;3500;3652;10000;4000;0;0
170;22;0;0;0;0;0;0;0,5873;1510;1442;982;1017;1277;567;0
171;37;0;0;0;0;0;0;0,1396;5000;2000;3000;4000;3000;2000;0
172;30;-1;-1;-1;-1;-1;-1;0,0144;3288;0;4340;2672;800;746;0
173;22;-1;0;0;0;0;0;0,3054;15000;1000;149;0;5000;10000;0
174;24;1;-2;-2;-2;-2;-2;0;0;0;0;0;0;0;1
175;29;1;-2;-1;-1;-2;-2;0,0002;0;77;0;0;0;0;0
176;56;1;2;2;2;2;3;0,5599;3000;3000;3000;5500;0;0;1
177;30;-2;-1;0;0;0;0;0,0773;504;500;1000;500;3500;0;0
178;30;1;2;0;0;0;2;0,9772;0;1500;1000;2000;0;2000;0
179;22;0;0;0;0;0;0;0,8;1212;1201;500;1500;1500;1000;0
180;29;0;0;2;0;0;0;1,0226;5800;1000;600;400;1000;0;0
181;37;-1;-1;2;0;0;-1;0,1108;15000;0;2000;0;1256;65935;0
182;35;0;-1;0;0;0;0;0,6201;12500;6500;3000;2000;3000;2000;0
183;47;0;0;0;0;0;0;0,2459;70010;30357;30000;20000;52183;20000;0
184;24;0;0;0;0;0;0;0,967;2500;1600;3000;1000;737;2000;1
185;25;0;0;0;0;0;-1;0,6535;1200;1593;601;135;1824;0;0
186;38;1;2;0;0;2;0;0,1644;0;1600;1500;0;1000;1500;1
187;32;1;-1;-1;-1;-1;-1;0,1901;57087;5295;68454;13889;16250;38313;0
188;47;2;2;2;2;2;2;1,0147;8214;7000;6800;7134;0;6836;1
189;34;1;-1;0;0;0;0;0,1125;5396;5000;3500;501;1000;2000;0
190;31;1;5;4;4;3;2;1,0851;0;1000;0;0;760;0;0
191;32;0;0;0;0;0;0;0,2125;10020;6031;10057;5028;5060;4223;0
192;27;2;0;0;0;2;0;0,3834;1342;1664;2000;0;900;846;1
193;29;-1;-1;-1;-2;-1;0;0,0957;199;0;0;17227;341;5114;0
194;24;-1;-1;2;0;0;-2;0,1227;37867;0;200;0;0;0;0
195;36;0;0;0;0;-1;-1;0,9558;2000;1000;2000;500;1000;20011;0
196;24;1;2;2;2;2;2;0,8007;1900;1400;1700;1532;1600;0;1
197;34;-2;-2;-2;-2;-2;-2;0,01;0;0;116;0;1500;0;0
198;22;0;0;0;0;-1;0;0,9723;1500;1032;541;20000;693;1000;0
199;34;-2;-2;-2;-1;-1;-1;0,0045;138;2299;1251;1206;1151;15816;0
200;22;1;2;2;0;0;0;0,9945;1000;85;1714;104;0;0;1
201;38;-2;-2;-2;-2;-2;-2;0,0041;0;0;0;0;0;0;0
202;31;0;0;2;0;0;2;0,1957;25000;0;3000;7800;0;2500;0
203;26;-1;0;-1;-1;-1;-1;0,1285;10000;13001;5841;13506;487;7004;0
204;26;0;0;0;0;0;0;1,0177;5000;5000;4152;5000;5000;5000;0
205;48;0;0;0;0;0;0;0,6505;9100;7300;5800;5600;5600;4100;0
206;43;-1;-1;0;0;0;0;1,0175;22359;1305;1258;1459;3457;1700;0
207;47;-1;-1;-1;-1;-1;-1;0,0147;1473;390;390;390;0;2380;0
208;41;-1;-1;-1;-1;-1;-1;0,0179;1586;343;3763;877;0;419;1
209;24;0;0;0;0;0;0;1,0203;3200;3000;2038;2000;1800;1800;1
210;50;-1;-1;-1;-1;-2;-2;0,0268;4345;2854;1702;0;1709;258;0
211;24;0;0;0;-1;-1;-1;0,5069;5000;5050;8303;0;85632;0;0
212;38;1;-2;-1;0;-1;-1;0,0058;0;250;0;789;1222;9616;1
213;43;0;0;0;0;0;0;0,9725;1700;1504;1200;1500;1500;1000;0
214;39;0;0;0;2;0;0;0,9449;3036;2309;0;1000;2000;148;0
215;27;2;2;2;2;0;0;1,0212;13000;11001;0;10484;10838;10367;0
216;42;-1;-1;-1;-1;-1;2;0,044;390;390;240;1470;0;0;0
217;36;1;-2;-2;-2;-2;-2;0;0;0;0;0;0;0;1
218;36;2;0;0;0;0;0;1,0002;3100;3500;3400;3000;3500;3000;0
219;31;0;0;0;0;0;0;0,818;4000;5000;3000;3000;3000;8954;0
220;38;-1;-1;-1;-1;-2;-2;0,0146;4542;126;0;0;0;0;0
221;40;2;2;2;0;0;0;0,3339;12000;0;5900;5000;4500;4700;1
222;45;0;0;0;0;0;0;1,0174;12388;12378;12116;12450;12213;11678;0
223;35;0;0;0;0;0;0;0,9908;12019;9006;17000;12000;9557;15000;0
224;33;0;0;0;0;0;0;0,3393;10042;18832;2117;2076;5045;3754;0
225;37;1;3;2;0;0;0;1,0525;0;24;1500;1000;1201;30592;1
226;28;0;0;0;0;0;0;0,7717;6530;4860;22500;4820;4877;4962;0
227;44;-1;-1;-1;-1;-1;-2;0,0093;2686;1864;569;0;0;0;0
228;37;0;0;0;0;0;0;0,9587;1609;3000;663;676;834;782;0
229;23;2;0;0;0;0;0;0,9951;2401;2254;2004;704;707;1004;1
230;24;1;2;0;0;0;0;0,9577;0;1333;500;100;0;3200;0
231;24;0;0;0;0;0;0;0,7159;2090;2002;1002;238;1011;389;0
232;23;1;2;0;0;2;0;1,0117;0;1200;1000;0;1000;10000;1
233;26;0;0;-2;-1;-1;0;2,056;0;0;2624;45567;1747;2000;0
234;34;2;0;0;0;2;2;0,7897;5000;5000;10000;0;12118;2769;1
235;33;0;0;0;0;0;0;0,97;1506;1298;1000;721;811;599;0
236;35;-1;-1;-1;-1;-1;-1;0,2492;3983;6853;1719;1378;19942;2418;0
237;27;0;0;0;0;0;0;0,8493;4500;1745;1566;1208;1077;2529;0
238;31;-2;-2;-2;-2;-1;-1;0,0353;0;7422;893;6082;2293;3299;0
239;50;0;0;0;0;0;0;0,9758;10116;9150;8008;8000;8009;7714;1
240;41;0;0;0;0;0;0;0,1638;3000;2000;2198;1000;3000;2399;1
241;28;1;2;2;-2;-2;-1;0,3583;0;0;0;0;2285;0;0
242;39;0;0;0;0;0;0;1,016;1800;2000;3000;2000;2000;2000;0
243;27;0;0;0;0;0;0;0,5879;1800;1750;900;1200;1200;1100;0
244;32;-1;-1;2;2;-1;-1;0,0325;2821;0;0;2821;0;176;0
245;40;-1;-1;2;2;2;2;0,0071;355;120;0;0;60;60;0
246;40;0;0;0;0;0;-2;1,0198;1601;2203;2114;0;0;0;0
247;75;0;-1;-1;-1;-1;-1;0,2114;1631;1536;1010;5572;794;1184;0
248;27;0;0;0;0;0;0;0,3776;1788;1799;1100;1150;2423;0;0
249;25;0;0;0;0;2;0;0,1549;2504;4007;5056;74;1023;2566;0
250;46;0;0;0;0;0;0;0,7142;1561;1268;587;611;1000;2000;0
251;26;1;2;2;0;0;0;1,0297;1710;136;1206;2002;2005;3003;0
252;28;0;0;0;0;0;0;0,9835;5006;1244;851;955;0;0;0
253;26;0;0;0;0;0;0;0,7692;5366;5087;3605;3894;3785;3304;1
254;28;0;0;0;0;-1;0;0,6229;7042;2000;1000;99669;12600;10000;0
255;29;-1;0;-1;-1;-1;-1;0,0488;3127;1469;4968;1905;2494;862;0
256;25;0;0;0;0;0;0;0,5985;1565;1393;980;994;1024;886;0
257;48;0;-1;-1;-1;-1;-1;0,1525;1233;1075;1355;1130;21361;1347;0
258;33;-1;-1;-1;-1;0;-1;0,3285;2453;9880;52572;1546;2210;0;0
259;43;0;0;-2;-2;-2;-2;0,6217;0;0;0;0;0;0;0
260;48;2;0;0;0;0;0;0,9705;10000;9020;6000;5500;6000;5500;1
261;29;0;0;0;0;0;0;0,2111;40010;20094;5000;5001;25365;65000;0
262;29;0;0;0;0;0;0;0,9855;1602;1400;3000;3130;1062;6318;0
263;38;-1;-1;-1;-1;2;-1;0,1183;4664;5969;18941;0;12652;1916;0
264;37;-2;-2;-2;-2;-2;-2;0,2209;51315;0;0;299;338;0;0
265;37;-1;-1;-1;-1;-1;-1;0,2109;258;5995;188;1644;16872;4000;0
266;25;-1;-1;-2;-1;-1;-1;0,041;0;0;316;316;316;316;0
267;23;0;0;0;0;0;2;0,9729;1134;1298;478;847;0;175;0
268;49;0;0;0;0;0;0;0,7027;4100;3095;1630;561;600;0;1
269;48;0;0;0;0;0;0;0,8918;1600;1600;1500;1500;1500;1500;0
270;27;3;2;2;0;0;-1;0,2976;1700;0;426;501;2614;1390;1
271;32;0;0;0;0;0;0;0,7;2035;2004;616;2007;1009;2015;0
272;34;-1;2;-1;0;0;0;0,0112;0;1350;0;0;0;450;0
273;58;1;-2;-2;-2;-2;-2;0;0;0;0;0;0;0;1
274;33;0;0;0;0;0;0;0,0816;2000;1322;2000;2000;1200;3000;0
275;28;-2;-2;-2;-2;-2;-2;0;0;0;0;0;0;0;1
276;36;0;0;0;0;0;0;0,9874;4483;12496;3268;3000;3000;2000;0
277;40;2;-1;-1;-1;-1;-1;0,0489;2728;0;2654;0;22545;0;1
278;26;-1;-1;-1;-1;-1;-1;0,0231;316;316;316;316;316;316;0
279;33;0;0;0;0;0;0;1,0171;2007;2199;691;707;703;697;0
280;31;0;0;0;0;0;0;0,4124;4000;4500;5000;4000;5000;4400;0
281;27;0;0;-1;0;0;-2;0,0819;1000;664;1500;0;0;0;0
282;44;0;0;0;0;-1;-1;0,4723;10063;5162;10150;44299;43509;31031;0
283;30;0;0;0;0;0;0;0,9107;7722;6091;3563;3605;3000;3211;0
284;28;0;0;0;0;0;0;0,5626;4173;3000;2025;5000;3000;3000;0
285;32;0;0;0;0;0;0;0,8483;5000;5000;5000;5000;4000;5000;0
286;46;-1;-1;-1;-1;-1;-1;0,5254;41986;21874;20076;16171;586;19777;0
287;38;2;0;0;0;0;0;0,3031;3276;2026;2000;2000;2000;2502;0
288;46;0;0;0;0;0;0;0,4126;8610;6907;3727;3800;4001;2701;0
289;25;2;0;0;0;0;0;0,7167;3472;2092;2000;2127;1960;1559;1
290;46;0;0;0;0;0;0;0,049;1295;1000;1000;1000;1000;1000;0
291;33;-1;-1;-1;-1;-1;-1;0,0032;898;325;898;325;0;345293;1
292;22;1;-2;-2;-2;-2;-2;0;0;0;0;0;0;0;1
293;43;3;2;2;2;2;2;0,087;1100;0;300;0;600;0;0
294;27;0;0;2;0;0;0;1,0227;3507;0;500;370;393;700;1
295;29;1;-2;-2;-2;-2;-2;0;0;0;0;0;0;1500;0
296;31;0;0;0;0;0;0;0,9867;9000;7465;4715;4804;5141;5300;0
297;29;-1;-1;-1;-1;-1;-1;0,0181;657;2319;1423;0;1820;2496;0
298;36;0;0;0;0;0;0;0,7056;6483;5082;6000;5900;4544;4700;0
299;36;0;0;0;0;0;0;0,2258;2755;3463;1300;1100;1100;2000;0
300;34;1;-2;-1;0;-1;-1;0,0653;0;13001;0;19595;203;0;1
301;37;0;0;0;0;0;0;0,992;3490;2332;2314;2365;2497;2305;0
302;36;-2;-2;-2;-2;-2;-2;0;0;0;0;0;162000;0;0
303;40;0;0;0;0;0;0;1,0242;2400;1206;1000;1000;1000;1000;0
304;25;0;0;2;0;0;0;1,391;2800;0;4000;1700;1000;2000;1
305;27;-1;-1;-1;0;0;0;0,037;665;960;3908;1014;3500;2880;0
306;26;-2;-2;-2;-2;-2;-2;0,0518;3220;5904;0;3000;0;0;0
307;36;-1;-1;-1;-1;-1;-1;0,0479;23962;0;8500;4590;0;0;0
308;27;1;-1;-1;-2;-2;-2;0,0173;5215;0;0;0;0;0;0
309;55;2;2;2;3;3;4;0,4838;1200;1200;2000;1500;1500;1500;1
310;27;-1;-1;-1;-1;-1;-1;0,3474;13809;14583;4889;273;13557;0;0
311;38;-1;0;-1;-1;0;-1;0,0133;1000;1354;5322;6;2386;9085;0
312;34;0;0;0;0;0;0;0,8169;7000;5000;5000;4900;5000;5100;0
313;40;0;0;0;2;0;0;0,8283;3000;3100;0;3000;1500;0;0
314;49;-1;2;2;2;0;0;0,2999;0;6000;0;5000;2286;3000;1
315;27;0;0;0;0;0;0;0,5573;1631;1286;200;645;909;200;0
316;23;0;0;0;0;0;0;0,8251;1970;2000;618;809;2000;616;1
317;36;0;0;0;0;0;0;0,4877;2200;2500;2000;2100;2500;2200;0
318;53;1;-1;-1;-2;-2;-1;0,002;165;526;452;397;485;459;0
319;46;3;2;2;0;0;0;1,0191;3754;1;1070;1030;863;654;0
320;29;1;-2;-2;-2;-2;-2;0;0;0;0;0;0;0;0
321;29;1;2;2;0;0;0;0,5305;2500;0;2000;2000;1854;2000;1
322;27;0;0;0;0;0;0;0,5298;21105;5461;5000;5849;2732;50000;0
323;24;-1;0;0;0;0;0;0,1676;1070;1500;3666;2477;1306;1000;0
324;28;0;0;0;-2;-1;-1;0,1146;1710;1100;1000;767;6173;1000;1
325;32;0;0;0;0;0;0;0,2798;10000;7000;10000;10000;10000;10000;0
326;43;1;-2;-1;0;0;0;0,2146;0;38013;3000;5000;3000;3000;0
327;41;-1;2;2;-1;2;-1;0,0043;325;0;950;0;325;325;1
328;34;2;2;2;2;2;0;0,5037;3800;0;3720;0;1300;1291;1
329;55;-2;-1;-1;-2;-2;-2;0,1482;44665;8321;2190;24599;7416;77195;0
330;40;2;2;2;2;2;2;0,7295;5200;0;8100;4000;4200;4200;0
331;37;1;-1;2;-1;-1;-1;0,116;1000;0;6900;24000;17000;2500;1
332;40;0;0;2;0;0;0;0,0975;3000;0;500;500;2700;500;1
333;28;1;2;0;0;0;0;0,5309;0;1483;673;10000;11540;7000;0
334;43;1;-2;-2;-2;-1;-1;0,1959;0;0;0;1600;78388;0;0
335;27;0;0;0;0;0;0;1,0285;1323;1600;830;700;674;376;0
336;28;0;0;0;0;0;0;0,844;5795;7408;5645;5753;6370;5865;0
337;30;0;0;0;0;0;0;0,6163;10000;8000;6000;7000;7000;6000;0
338;31;-2;-2;-2;-2;-2;-2;0,0027;0;0;0;0;0;0;0
339;31;0;0;0;0;0;0;0,9935;1974;4406;1061;1073;1046;1047;1
